"Words","Images","Cos","File"
"zone","burger",0.0393125018099194,"PICTURE_11"
"wood","burger",0.00188362996151212,"PICTURE_11"
"word","burger",-0.0120515506320883,"PICTURE_11"
"yard","burger",-0.0795935929878827,"PICTURE_11"
"witch","burger",0.0256545145837008,"PICTURE_11"
"wallet","burger",0.0519332860340693,"PICTURE_11"
"walls","burger",0.0690632713264971,"PICTURE_11"
"week","burger",0.0759127548300762,"PICTURE_11"
"victim","burger",-0.0690927262078961,"PICTURE_11"
"vision","burger",0.0342248905548572,"PICTURE_11"
"turkey","burger",0.0552400647375499,"PICTURE_11"
"truth","burger",-0.0584877858046365,"PICTURE_11"
"threat","burger",-0.0357636832585585,"PICTURE_11"
"teeth","burger",-0.0410383094181494,"PICTURE_11"
"talent","burger",-0.0491996743954974,"PICTURE_11"
"story","burger",0.0112775198866323,"PICTURE_11"
"style","burger",0.0841903535538487,"PICTURE_11"
"squad","burger",0.00160932644458048,"PICTURE_11"
"sister","burger",-0.0119602253200157,"PICTURE_11"
"safety","burger",-0.0802899319990558,"PICTURE_11"
"radar","burger",0.0286005886327679,"PICTURE_11"
"potter","burger",0.0356903304670256,"PICTURE_11"
"pizza","burger",0.146757789299907,"PICTURE_11"
"period","burger",-0.0451827006598587,"PICTURE_11"
"person","burger",-0.104068860921191,"PICTURE_11"
"peace","burger",0.0372179425961895,"PICTURE_11"
"owner","burger",0.0543413610452194,"PICTURE_11"
"office","burger",0.0525932371004088,"PICTURE_11"
"object","burger",0.0379026250812168,"PICTURE_11"
"night","burger",-0.047940314216563,"PICTURE_11"
"noise","burger",-0.0905741049645461,"PICTURE_11"
"none","burger",-0.0419635658914542,"PICTURE_11"
"nature","burger",0.0153862451565353,"PICTURE_11"
"mood","burger",0.0336072234483158,"PICTURE_11"
"mother","burger",-0.0336439911439449,"PICTURE_11"
"minute","burger",0.086477705957105,"PICTURE_11"
"member","burger",0.032095589817831,"PICTURE_11"
"loss","burger",-0.0879843004344276,"PICTURE_11"
"liar","burger",-0.0524060535106001,"PICTURE_11"
"lily","burger",0.012831288610341,"PICTURE_11"
"lips","burger",-0.0109006470112359,"PICTURE_11"
"lady","burger",-0.0270475459464409,"PICTURE_11"
"lake","burger",0.0155713434653015,"PICTURE_11"
"leader","burger",0.0709426384451184,"PICTURE_11"
"killer","burger",-0.0197039345211916,"PICTURE_11"
"kind","burger",-0.0429279434338186,"PICTURE_11"
"kitty","burger",-0.0666572187881583,"PICTURE_11"
"horn","burger",-0.0317439210532468,"PICTURE_11"
"hour","burger",0.0909897940144028,"PICTURE_11"
