consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv,key_resp_13.keys,key_resp_13.rt,learn_blocks_loop.thisRepN,learn_blocks_loop.thisTrialN,learn_blocks_loop.thisN,learn_blocks_loop.thisIndex,learn_blocks_loop.ran
y,28.80728,TOUGH,5.8545,1,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5eab13155a85f50c05f6e9f7,05/08/1947,2020-09-03_19h22.46.837,proactive2,2020.1.2,Win32,60,5f5126bb654d4b30ee6923d8,5f51340d9062f8337771b3d9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5eab13155a85f50c05f6e9f7,05/08/1947,2020-09-03_19h22.46.837,proactive2,2020.1.2,Win32,60,5f5126bb654d4b30ee6923d8,5f51340d9062f8337771b3d9,6,0,0,0,4,1,peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5eab13155a85f50c05f6e9f7,05/08/1947,2020-09-03_19h22.46.837,proactive2,2020.1.2,Win32,60,5f5126bb654d4b30ee6923d8,5f51340d9062f8337771b3d9,6,0,1,1,3,1,crow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5eab13155a85f50c05f6e9f7,05/08/1947,2020-09-03_19h22.46.837,proactive2,2020.1.2,Win32,60,5f5126bb654d4b30ee6923d8,5f51340d9062f8337771b3d9,6,0,2,2,0,1,chameleon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5eab13155a85f50c05f6e9f7,05/08/1947,2020-09-03_19h22.46.837,proactive2,2020.1.2,Win32,60,5f5126bb654d4b30ee6923d8,5f51340d9062f8337771b3d9,6,0,3,3,2,1,lobster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LOSSDE,15.01397,0,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5eab13155a85f50c05f6e9f7,05/08/1947,2020-09-03_19h22.46.837,proactive2,2020.1.2,Win32,60,5f5126bb654d4b30ee6923d8,5f51340d9062f8337771b3d9,6,,,,,,chameleon,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,DEVIL,15.001825,1,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5eab13155a85f50c05f6e9f7,05/08/1947,2020-09-03_19h22.46.837,proactive2,2020.1.2,Win32,60,5f5126bb654d4b30ee6923d8,5f51340d9062f8337771b3d9,6,,,,,,crow,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,LOSS,15.00311,0,,,,,,stimuli/images/PICTURE_727.png,CELL,5eab13155a85f50c05f6e9f7,05/08/1947,2020-09-03_19h22.46.837,proactive2,2020.1.2,Win32,60,5f5126bb654d4b30ee6923d8,5f51340d9062f8337771b3d9,6,,,,,,hose,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,KILLER,7.209965,0,,,,,,stimuli/images/PICTURE_378.png,LOSS,5eab13155a85f50c05f6e9f7,05/08/1947,2020-09-03_19h22.46.837,proactive2,2020.1.2,Win32,60,5f5126bb654d4b30ee6923d8,5f51340d9062f8337771b3d9,6,,,,,,lobster,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,KILLER,6.133565,1,,,,,,stimuli/images/PICTURE_697.png,KILLER,5eab13155a85f50c05f6e9f7,05/08/1947,2020-09-03_19h22.46.837,proactive2,2020.1.2,Win32,60,5f5126bb654d4b30ee6923d8,5f51340d9062f8337771b3d9,6,,,,,,peach,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
