consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv,key_resp_13.keys,key_resp_13.rt,learn_blocks_loop.thisRepN,learn_blocks_loop.thisTrialN,learn_blocks_loop.thisN,learn_blocks_loop.thisIndex,learn_blocks_loop.ran,final_learn_test.thisRepN,final_learn_test.thisTrialN,final_learn_test.thisN,final_learn_test.thisIndex,final_learn_test.ran,s_im1,s_im2,s_im3,s_im4,s_im5,s_im6,s_im7,s_im8,s_im1pos,s_im2pos,s_im3pos,s_im4pos,s_im5pos,s_im6pos,s_im7pos,s_im8pos,s_tarright,search_resp.keys,search_loop.thisRepN,search_loop.thisTrialN,search_loop.thisN,search_loop.thisIndex,search_loop.ran,prac_wm_search_loop.thisRepN,prac_wm_search_loop.thisTrialN,prac_wm_search_loop.thisN,prac_wm_search_loop.thisIndex,prac_wm_search_loop.ran,prac_wm_test_loop.thisRepN,prac_wm_test_loop.thisTrialN,prac_wm_test_loop.thisN,prac_wm_test_loop.thisIndex,prac_wm_test_loop.ran,wm_recalled1,wm_recall_rt1,wm_probed1,wm_recall_acc1,wm_recalled2,wm_recall_rt2,wm_probed2,wm_recall_acc2,wm_recalled3,wm_recall_rt3,wm_probed3,wm_recall_acc3,wm_recalled4,wm_recall_rt4,wm_probed4,wm_recall_acc4,prac_wm_trial_loop.thisRepN,prac_wm_trial_loop.thisTrialN,prac_wm_trial_loop.thisN,prac_wm_trial_loop.thisIndex,prac_wm_trial_loop.ran,word1,image1,file1,item_type1,word2,image2,file2,item_type2,word4,image4,file4,item_type4,word3,image3,file3,item_type3,wm_search_loop.thisRepN,wm_search_loop.thisTrialN,wm_search_loop.thisN,wm_search_loop.thisIndex,wm_search_loop.ran,wm_test_loop.thisRepN,wm_test_loop.thisTrialN,wm_test_loop.thisN,wm_test_loop.thisIndex,wm_test_loop.ran,wm_trial_loop.thisRepN,wm_trial_loop.thisTrialN,wm_trial_loop.thisN,wm_trial_loop.thisIndex,wm_trial_loop.ran
y,8.496,TOUGH,5.715,1,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,0,0,0,0,1,chameleon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,0,1,1,1,1,hose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_658.png,DEVIL,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,0,2,2,3,1,crow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,0,3,3,2,1,lobster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GENIUS,9.429,1,,,,,,stimuli/images/PICTURE_269.png,GENIUS,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,chameleon,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CELL,6.829,1,,,,,,stimuli/images/PICTURE_727.png,CELL,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,hose,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LOSS,3.964,1,,,,,,stimuli/images/PICTURE_378.png,LOSS,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,lobster,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KILLER,3.829,1,,,,,,stimuli/images/PICTURE_697.png,KILLER,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,peach,0,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DEVIL,3.051,1,,,,,,stimuli/images/PICTURE_658.png,DEVIL,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,crow,0,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_308.png,ESTATE,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,dice,,,,,,0,0,0,46,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_215.png,PLENTY,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,boot,,,,,,0,1,1,37,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_491.png,ROOF,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,rug,,,,,,0,2,2,24,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_449.png,THING,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,bench,,,,,,0,3,3,59,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_675.png,WEAPON,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,windmill,,,,,,0,4,4,32,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_380.png,DEATH,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,gorilla,,,,,,0,5,5,49,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_453.png,PLENTY,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,scissors,,,,,,0,6,6,56,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_708.png,CLIENT,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,monkey,,,,,,0,7,7,5,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_311.png,FRIEND,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,razor,,,,,,0,8,8,34,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_469.png,LETTER,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,stool,,,,,,0,9,9,42,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_314.png,GODS,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,perfume,,,,,,0,10,10,11,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_487.png,FLIGHT,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,basket,,,,,,0,11,11,9,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_285.png,ADVICE,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,carrot,,,,,,0,12,12,12,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_208.png,MONTH,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,microphone,,,,,,0,13,13,53,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_302.png,FAMILY,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,taxi,,,,,,0,14,14,18,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_453.png,DUDE,59e3b0252f63d30001c8f6f9,06/08/1955,2020-09-10_09h46.42.989,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2e0e7e4af20917851c62,2,,,,,,scissors,,,,,,0,15,15,27,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
