consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv,key_resp_13.keys,key_resp_13.rt,learn_blocks_loop.thisRepN,learn_blocks_loop.thisTrialN,learn_blocks_loop.thisN,learn_blocks_loop.thisIndex,learn_blocks_loop.ran,final_learn_test.thisRepN,final_learn_test.thisTrialN,final_learn_test.thisN,final_learn_test.thisIndex,final_learn_test.ran,s_im1,s_im2,s_im3,s_im4,s_im5,s_im6,s_im7,s_im8,s_im1pos,s_im2pos,s_im3pos,s_im4pos,s_im5pos,s_im6pos,s_im7pos,s_im8pos,s_tarright,search_resp.keys,search_loop.thisRepN,search_loop.thisTrialN,search_loop.thisN,search_loop.thisIndex,search_loop.ran,prac_wm_search_loop.thisRepN,prac_wm_search_loop.thisTrialN,prac_wm_search_loop.thisN,prac_wm_search_loop.thisIndex,prac_wm_search_loop.ran,prac_wm_test_loop.thisRepN,prac_wm_test_loop.thisTrialN,prac_wm_test_loop.thisN,prac_wm_test_loop.thisIndex,prac_wm_test_loop.ran,wm_recalled1,wm_recall_rt1,wm_probed1,wm_recall_acc1,wm_recalled2,wm_recall_rt2,wm_probed2,wm_recall_acc2,wm_recalled3,wm_recall_rt3,wm_probed3,wm_recall_acc3,wm_recalled4,wm_recall_rt4,wm_probed4,wm_recall_acc4,prac_wm_trial_loop.thisRepN,prac_wm_trial_loop.thisTrialN,prac_wm_trial_loop.thisN,prac_wm_trial_loop.thisIndex,prac_wm_trial_loop.ran,word1,image1,file1,item_type1,word2,image2,file2,item_type2,word4,image4,file4,item_type4,word3,image3,file3,item_type3,wm_search_loop.thisRepN,wm_search_loop.thisTrialN,wm_search_loop.thisN,wm_search_loop.thisIndex,wm_search_loop.ran,wm_test_loop.thisRepN,wm_test_loop.thisTrialN,wm_test_loop.thisN,wm_test_loop.thisIndex,wm_test_loop.ran,wm_trial_loop.thisRepN,wm_trial_loop.thisTrialN,wm_trial_loop.thisN,wm_trial_loop.thisIndex,wm_trial_loop.ran
,,,,,,,,,,stimuli/images/PICTURE_340.png,VALLEY,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,mirror,,,,,,0,0,0,54,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_95.png,HONEY,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,suitcase,,,,,,0,1,1,44,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_708.png,RECORD,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,monkey,,,,,,0,2,2,58,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_68.png,ROOF,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,candle,,,,,,0,3,3,38,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_504.png,COPS,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,wheel,,,,,,0,4,4,52,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_327.png,SERIES,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,helmet,,,,,,0,5,5,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_233.png,LOTS,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,salt,,,,,,0,6,6,42,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_308.png,FAMILY,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,dice,,,,,,0,7,7,36,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_564.png,BATH,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,spoon,,,,,,0,8,8,26,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_57.png,MOMENT,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,stamp,,,,,,0,9,9,37,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_487.png,GIRL,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,basket,,,,,,0,10,10,45,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_405.png,PLENTY,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,anchor,,,,,,0,11,11,23,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_108.png,FLIGHT,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,calendar,,,,,,0,12,12,59,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_340.png,LETTER,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,mirror,,,,,,0,13,13,24,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_68.png,MILE,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,candle,,,,,,0,14,14,51,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_504.png,ARTIST,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,wheel,,,,,,0,15,15,49,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_403.png,TOILET,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,cathedral,,,,,,0,16,16,25,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_655.png,TOILET,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,megaphone,,,,,,0,17,17,12,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_403.png,RIVER,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,cathedral,,,,,,0,18,18,40,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_203.png,GODS,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,cap,,,,,,0,19,19,30,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_208.png,SYSTEM,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,microphone,,,,,,0,20,20,32,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_297.png,RIVER,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,aeroplane,,,,,,0,21,21,39,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_2.png,FLIGHT,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,tyre,,,,,,0,22,22,15,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_147.png,YEAR,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,hanger,,,,,,0,23,23,21,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_203.png,NIGHT,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,cap,,,,,,0,24,24,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_147.png,WOMEN,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,hanger,,,,,,0,25,25,7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_95.png,MILLER,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,suitcase,,,,,,0,26,26,56,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_177.png,WRITER,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,mushroom,,,,,,0,27,27,41,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_667.png,RIVER,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,daisy,,,,,,0,28,28,10,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_750.png,HOTEL,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,kettle,,,,,,0,29,29,27,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_685.png,PENNY,5f182cf45ce5af05a9ef92a1,16/11/1950,2020-09-10_14h41.13.072,proactive3.1,2020.1.2,Win32,60,5f599a131af4471f3d752b7b,5f5a2c5a55bc9f08b3a47cac,5,,,,,,goose,,,,,,0,30,30,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
